,Platform,Genre,Publisher,Critic_Score,User_Score,Rating,Cat
457,PS2,Action,Ubisoft,87.0,8.6,M,Action
458,PS3,Action,Sony Computer Entertainment,74.0,7.3,T,Action
459,PS3,Shooter,Ubisoft,79.0,6.9,M,Action
460,PS2,Strategy,Electronic Arts,75.0,8.4,T,Strategy
461,PS3,Racing,Ubisoft,79.0,7.7,T,Sports
462,X360,Shooter,Electronic Arts,73.0,7.3,M,Action
463,PS2,Shooter,Sony Computer Entertainment,70.0,7.4,M,Action
464,PS3,Action,Ubisoft,84.0,7.7,M,Action
465,PS3,Action,Activision,77.0,4.8,E10+,Action
466,PS3,Fighting,THQ,78.0,7,T,Sports
467,X360,Sports,Electronic Arts,83.0,6.7,E,Sports
468,PS3,Action,Electronic Arts,83.0,7.6,M,Action
469,XB,Action,Ubisoft,92.0,7.8,T,Action
470,PS2,Sports,Sony Computer Entertainment,83.0,8.9,E,Sports
471,PS2,Sports,Electronic Arts,79.0,6.8,E,Sports
472,XB,Sports,Activision,90.0,8.5,T,Sports
473,PS3,Role-Playing,Sony Computer Entertainment,64.0,7.5,T,Strategy
474,PS3,Misc,Sony Computer Entertainment,70.0,5.5,T,Puzzle
475,PS2,Sports,Sony Computer Entertainment,83.0,8.6,E,Sports
476,X360,Misc,Activision,39.0,5.6,E10+,Puzzle
477,PS3,Shooter,Ubisoft,76.0,8,M,Action
478,PC,Action,Ubisoft,80.0,6.2,M,Action
479,X360,Sports,Electronic Arts,86.0,7.1,E,Sports
480,PS3,Role-Playing,Ubisoft,85.0,8.5,M,Strategy
481,X360,Role-Playing,Ubisoft,82.0,8.4,M,Strategy
482,PS3,Sports,Sony Computer Entertainment,87.0,7.5,E,Sports
483,X360,Action,Electronic Arts,73.0,7.7,M,Action
484,X360,Fighting,THQ,79.0,7.1,T,Sports
485,PS3,Sports,Electronic Arts,78.0,5.4,E,Sports
486,PS2,Sports,Electronic Arts,76.0,8.1,T,Sports
487,X360,Strategy,Ubisoft,77.0,7.2,T,Strategy
488,PS3,Sports,Electronic Arts,81.0,6.8,E,Sports
489,PS2,Sports,Electronic Arts,80.0,7.6,E,Sports
490,PS2,Sports,Sony Computer Entertainment,78.0,7.6,E,Sports
491,X360,Role-Playing,Activision,73.0,7.3,T,Strategy
492,PS2,Racing,Electronic Arts,90.0,8.8,E10+,Sports
493,X360,Shooter,Electronic Arts,76.0,6.7,M,Action
494,PS3,Shooter,THQ,70.0,5.7,M,Action
495,PS2,Sports,Sony Computer Entertainment,70.0,8.1,E,Sports
496,PS3,Racing,THQ,74.0,7.4,E,Sports
497,PS2,Platform,Activision,50.0,6.5,T,Adventure
498,XB,Shooter,Electronic Arts,71.0,7.5,T,Action
499,PS3,Misc,Activision,86.0,7.8,T,Puzzle
500,XB,Role-Playing,Activision,82.0,8.5,T,Strategy
501,XB,Sports,Electronic Arts,85.0,7.6,E,Sports
502,PS2,Sports,Electronic Arts,68.0,6.6,E,Sports
503,PS3,Shooter,Sony Computer Entertainment,67.0,6.3,M,Action
504,PS2,Sports,Electronic Arts,83.0,6.2,E,Sports
505,X360,Sports,Electronic Arts,77.0,6.7,E,Sports
506,PS3,Sports,Electronic Arts,80.0,7.3,E,Sports
507,PS3,Action,Activision,70.0,7.1,E10+,Action
508,PS3,Action,Electronic Arts,79.0,4.1,E,Action
509,PS3,Action,Electronic Arts,71.0,7.5,T,Action
510,PC,Shooter,Activision,86.0,4.2,M,Action
511,PS3,Shooter,Ubisoft,78.0,7.8,M,Action
512,X360,Fighting,THQ,75.0,7.6,T,Sports
513,XB,Shooter,Ubisoft,81.0,8.8,M,Action
514,X360,Role-Playing,Electronic Arts,80.0,7.7,M,Strategy
515,X360,Misc,Ubisoft,63.0,6.8,E10+,Puzzle
516,PS3,Action,Sony Computer Entertainment,73.0,6.9,E,Action
517,PS2,Sports,Activision,69.0,7.3,T,Sports
518,X360,Shooter,THQ,85.0,8.1,M,Action
519,PS2,Fighting,Electronic Arts,88.0,9,T,Sports
520,X360,Shooter,Ubisoft,76.0,8.3,M,Action
521,PS3,Shooter,Electronic Arts,77.0,6.3,M,Action
522,PS3,Shooter,Electronic Arts,72.0,7.1,T,Action
523,X360,Misc,Activision,72.0,6.5,T,Puzzle
524,X360,Sports,Electronic Arts,83.0,8.1,E,Sports
525,XB,Sports,Electronic Arts,88.0,8.9,E,Sports
526,PS3,Role-Playing,Electronic Arts,81.0,7.6,M,Strategy
527,PS2,Action,THQ,65.0,8,E,Action
528,PS3,Sports,Electronic Arts,85.0,7.4,E,Sports
529,PS3,Shooter,Electronic Arts,74.0,7,M,Action
530,PS3,Action,THQ,84.0,7.1,M,Action
531,PS3,Action,Sony Computer Entertainment,78.0,7.9,T,Action
532,PS3,Sports,Electronic Arts,84.0,7.8,T,Sports
533,PS2,Role-Playing,Sony Computer Entertainment,83.0,8.4,T,Strategy
534,PS3,Sports,Electronic Arts,77.0,6.2,E,Sports
535,PS2,Action,THQ,75.0,8.8,T,Action
536,PS3,Sports,Electronic Arts,82.0,5.8,E,Sports
537,PS3,Sports,Electronic Arts,78.0,6.7,E,Sports
538,PS2,Platform,Sony Computer Entertainment,83.0,8.8,E10+,Adventure
539,PS3,Action,Electronic Arts,82.0,4.3,M,Action
540,XB,Shooter,Electronic Arts,78.0,7.8,T,Action
541,PS2,Role-Playing,Activision,81.0,8.2,T,Strategy
542,X360,Misc,Activision,86.0,7.9,T,Puzzle
543,XB,Racing,Electronic Arts,75.0,6.4,E,Sports
544,PS2,Shooter,Ubisoft,70.0,8.2,M,Action
